shelter_id,name,city,organization,phone,type,lat,lng,pets,accessibility,childrens_programming,shared_device_available,has_shared_kitchen,has_outdoor_space
S001,100 Mile House Safe Home,100 Mile House,Canadian Mental Health Association - South Cariboo Branch,1-800-563-0808,safe_home,unknown,unknown,unknown,unknown,unknown,no,yes,yes
S002,Abbotsford Transition House,Abbotsford,SARA for Women Society,604-852-6008,transition_house,49.0495106,-122.3349203,none,unknown,offsite,yes,yes,yes
S003,Libra Transition House,Aldergrove,Ishtar Women's Resource Society,604-857-5797,transition_house,49.1181204,-122.6588398,onsite,fully,onsite,yes,yes,no
S004,Snxlhh or Nuxalk Transition House,Bella Coola,Nuxalk Transition House Society,1-877-799-0070,transition_house,52.372895,-126.7625759,none,partly,offsite,yes,yes,no
S005,Dixon Transition House,Burnaby,Dixon Transition Society,604-298-3454,transition_house,49.275356,-122.9913249,none,partly,offsite,yes,yes,yes
S006,Eagle's Nest Transition House,Burns Lake,Prince George and District Elizabeth Fry Society,250-692-5720,transition_house,54.6856375,-125.3478586,offsite,partly,offsite,yes,yes,yes
S007,Ann Elmore Transition House,Campbell River,Campbell River and North Island Transition Society,250-286-3666,transition_house,50.0198244,-125.2412805,onsite,partly,onsite,yes,yes,no
S008,Castlegar Safe Home,Castlegar,Castlegar Community Services Society,250-608-3710,safe_home,55.69538,-121.6295029,none,partly,onsite,yes,no,yes
S009,Chetwynd Safe Home,Chetwynd,South Peace Community Resources Society,250-788-1976,safe_home,55.71926,-121.633911,none,unknown,onsite,yes,yes,yes
S010,Linda Krystina Safe House,Chetwynd,The Linda Krystina Housing Society,250-401-8079,safe_home,unknown,unknown,unknown,unknown,unknown,no,yes,no
S011,Ann Davis Transition House,Chilliwack,Ann Davis Transition Society,604-792-3116,transition_house,49.176738,-121.9628433,onsite,unknown,onsite,yes,yes,yes
S012,Ann Davis Women's Centre,Chilliwack,Ann Davis Transition Society,604-391-1993,transition_house,49.166738,-121.9528433,onsite,fully,onsite,yes,yes,yes
S013,Wilma's Transition House,Chilliwack,Wilma's Transition Society,604-858-0468,transition_house,49.130906,-122.0139109,none,unknown,onsite,yes,yes,yes
S014,Clearwater Safe Home,Clearwater,Yellowhead Community Services Society,250-674-2135,safe_home,51.656452,-120.033213,offsite,fully,offsite,yes,yes,yes
S015,Joy's Place,Coquitlam,Tri-City Transitions Society,604-492-1700,transition_house,49.2615252,-122.781942,none,partly,onsite,yes,yes,yes
S016,Lilli House,Courtenay,Comox Valley Transition Society,250-338-1227,transition_house,49.6899546,-124.9993879,none,fully,onsite,yes,no,no
S017,Kootenay Haven Transition House,Cranbrook,Canadian Mental Health Association for the Kootenays,250-426-4887,transition_house,49.5217833,-115.751547,onsite,partly,offsite,yes,no,yes
S018,Irvine House Safe Home Program,Creston,Kootenai Community Centre Society,250-428-6856,safe_home,49.0644511,-116.872542,offsite,unknown,offsite,yes,yes,no
S019,Mizpah Transition House,Dawson Creek,South Peace Community Resources Society,250-782-9176,transition_house,55.7561634,-120.2426322,offsite,fully,offsite,yes,yes,no
S020,Azure Place,Delta,W.I.N.G.S. Fellowship Ministries,604-957-1556,transition_house,unknown,unknown,unknown,unknown,unknown,no,yes,no
S021,Somenos Transition House,Duncan,Cowichan Women Against Violence Society,250-748-8544,transition_house,48.77849,-123.7124669,onsite,partly,onsite,yes,yes,no
S022,Lelum 'u tu S'tsa'-elh teyt-en,Duncan,Hiiye'yu Lelum Society,250-732-7788,transition_house,unknown,unknown,unknown,unknown,unknown,no,yes,yes
S023,Elk Valley Women's Transition House,Elkford,Elkford Women's Task Force Society,250-946-6004,transition_house,49.4455151,-114.751544,offsite,partly,offsite,yes,yes,yes
S024,FNAFS Women's Transition House,Fort Nelson,Fort Nelson Aboriginal Friendship Society,250-774-4742,transition_house,58.842527,-122.5752589,offsite,partly,offsite,yes,yes,yes
S025,Fireweed Safe Haven,Fort St. James,Fireweed Collective Society,250-996-8000,transition_house,54.464698,-124.1723879,onsite,partly,none,yes,yes,yes
